I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-14.01183,101.55689,-114.65506,-7.46533,10.68437,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.68163,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.68712,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.46533,10.68987,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.68987,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.47083,10.69536,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.46533,10.68987,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.46533,10.69536,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.46533,10.69536,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.69261,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.69536,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.69261,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.69536,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.69261,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.69536,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.69261,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.69261,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.69810,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.61113,-7.45984,10.69536,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.69536,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.69810,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.70085,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.70634,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71184,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.71458,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.72008,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45435,10.72008,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.61113,-7.45984,10.72008,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71733,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71733,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.72557,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.73656,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.73656,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.73381,11.91486,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.73106,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.73106,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.73381,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.73381,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.72832,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.72008,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.72282,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.72832,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.72282,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.72008,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.72008,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.61113,-7.45984,10.71733,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71733,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.72008,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71733,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.71733,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.71458,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71184,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71458,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.46533,10.71733,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71184,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71458,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71733,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71733,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.46533,10.71458,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71458,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.71184,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.70909,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.70634,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45984,10.70909,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.55689,-114.65506,-7.45984,10.71458,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.71184,11.92035,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.71184,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44885,10.71184,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.71458,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.45435,10.71184,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
-14.01183,101.60084,-114.65506,-7.44885,10.72008,11.92584,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
